PropHTE (facet),PropModel,HTE,Strength of confounding (x axis),Method (line),Bias (y axis),Variance (y axis)
prop2hte0,prop2,0,1,method2,-75.45600373654257,0.003842465153552059
prop2hte0,prop2,0,2,method2,-75.6487011460261,0.009405038663074204
prop2hte0,prop2,0,0,method3,-75.66296927306304,0.0021380191060661846
prop2hte0,prop2,0,1,method3,-75.40047465122662,0.0027697441748551835
prop2hte0,prop2,0,2,method3,-75.79201157736334,0.008090678694538968
prop3hte1,prop3,1,0,method1,-75.49037338466565,0.0021057976140821857
prop3hte1,prop3,1,1,method1,-75.15906351929793,0.0034962033860193855
prop3hte1,prop3,1,2,method1,-75.55988186719154,0.0074600029558069565
prop3hte1,prop3,1,0,method2,-75.54529382011032,0.003507214897801501
prop3hte1,prop3,1,1,method2,-75.13084597931713,0.006637581302840913
prop3hte1,prop3,1,2,method2,-75.81042567652376,0.011846114481522464
prop3hte1,prop3,1,0,method3,-75.57192634809242,0.0010647608805191599
prop3hte1,prop3,1,1,method3,-75.16955601330577,0.0021088656117701807
prop3hte1,prop3,1,2,method3,-75.57806887114506,0.004086155000768345
prop3hte0,prop3,0,0,method1,-75.67259976504702,0.0019287181741406494
prop3hte0,prop3,0,1,method1,-75.42096199453586,0.0026804790785260246
prop3hte0,prop3,0,2,method1,-75.82568521922921,0.006979883462392202
prop3hte0,prop3,0,0,method2,-75.6808299599867,0.003410229029645419
prop3hte0,prop3,0,1,method2,-75.4528559832105,0.004522193238597389
prop3hte0,prop3,0,2,method2,-75.81042567652376,0.011846114481522464
prop3hte0,prop3,0,0,method3,-75.67145371842612,0.0010562406561869925
prop3hte0,prop3,0,1,method3,-75.42047660670566,0.0014961083849067316
prop3hte0,prop3,0,2,method3,-75.82418469728488,0.004050903071546103
prop4hte1,prop4,1,0,method1,-75.40491634812099,0.0021398784166128267
prop4hte1,prop4,1,1,method1,-75.06535052331057,0.0030881566361951425
prop4hte1,prop4,1,2,method1,-75.48734687588572,0.00687849793175278
prop4hte1,prop4,1,0,method2,-75.41826800742817,0.0032337929742990586
prop4hte1,prop4,1,1,method2,-75.12246168651569,0.004465650291716635
prop4hte1,prop4,1,2,method2,-75.48141008677435,0.01089685994572584
prop4hte1,prop4,1,0,method3,-75.41403790853818,0.001111142239071895
prop4hte1,prop4,1,1,method3,-75.07514316817024,0.001775722793000895
prop4hte1,prop4,1,2,method3,-75.46469358702207,0.004209266430218437
prop4hte0,prop4,0,0,method1,-75.62051316386918,0.001871839631429657
prop4hte0,prop4,0,1,method1,-75.34407113227553,0.002486905929669676
prop4hte0,prop4,0,2,method1,-75.78157674753193,0.006683283702838782
prop4hte0,prop4,0,0,method2,-75.52641234817193,0.003174871767280806
prop4hte0,prop4,0,1,method2,-75.31785357191845,0.003882386857447943
prop4hte0,prop4,0,2,method2,-75.72036931079123,0.010541565956459744
prop4hte0,prop4,0,0,method3,-75.58580708839062,0.0010177689972442965
prop4hte0,prop4,0,1,method3,-75.30629646416372,0.0013518624916103628
prop4hte0,prop4,0,2,method3,-75.72273353252889,0.004129466427047794
prop5hte1,prop5,1,0,method1,-75.24817465361326,0.0018718079747366294
prop5hte1,prop5,1,1,method1,-75.00675011481292,0.002848035273408931
prop5hte1,prop5,1,2,method1,-75.27800782006204,0.006465562691751495
prop5hte1,prop5,1,0,method2,-75.282002836742,0.0033790607657908415
prop5hte1,prop5,1,1,method2,-75.0819085190022,0.00519918298582984
prop5hte1,prop5,1,2,method2,-75.33308339706089,0.010196388415896998
